CHEMBL3715894; 0.906; CC1CCN(CC1)C1=NC=NC2=C1C1=C(N2)C=CC(O)=C1
CHEMBL3718794; 0.904; CC1CC(C)CN(C1)C1=NC=NC2=C1C1=C(N2)C=CC(=C1)C(N)=O
CHEMBL3719102; 0.903; CC1CCCN(C1)C1=NC=NC2=C1C1=C(N2)C=CC(=C1)C(N)=O
CHEMBL3716162; 0.903; CC1CCN(CC1)C1=NC=NC2=C1C1=C(N2)C=CC(=C1)C(N)=O
CHEMBL3693615; 0.903; [O-][N+](=O)C1=CC=C(OC(=O)N2CCCC22CCN(C2)C2=C3C=CNC3=NC=N2)C=C1
CHEMBL3904533; 0.900; CN([C@@H]1C[C@@H](C1)NS(=O)(=O)N1C[C@@H]2C[C@@]2(C1)C#N)C1=C2C=CNC2=NC=N1
CHEMBL3356064; 0.899; C[C@H]1CN(CCN1C(=O)NC1=CC=CC=C1)C1=C2C(C)=CNC2=NC=N1
CHEMBL4228436; 0.898; CN([C@@H]1CCN(C1)S(=O)(=O)N1CCCCC1)C1=C2C=CNC2=NC=N1
CHEMBL573004; 0.894; CC1=CNC2=NC=NC(N3CCC(CC3)C(=O)NC3=CC=CC(Br)=C3)=C12
CHEMBL4285042; 0.894; CN([C@H]1CN(CC11CC1)C(=O)NC1=CC=C(C)C(Cl)=C1)C1=C2C=CNC2=NC=N1
CHEMBL4283965; 0.893; CCS(=O)(=O)N1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1
CHEMBL4291829; 0.893; CC(C)S(=O)(=O)N1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1
CHEMBL584968; 0.891; CC1=CNC2=NC=NC(N3CC4CCC(C3)N4C(=O)NC3=CC=CC(Br)=C3)=C12
CHEMBL576283; 0.887; COC1=CC=C(NC(=O)C2CCN(CC2)C2=C3C(C)=CNC3=NC=N2)C=C1
CHEMBL2314765; 0.883; CCCCN1C=CC2=C(N=C(N)N=C12)N1CCNCC1
CHEMBL3715974; 0.880; NC(=O)C1=CC2=C(NC3=C2C(=NC=N3)N2CCCCCC2)C=C1
CHEMBL3715588; 0.878; NC(=O)C1=CC2=C(NC3=C2C(=NC=N3)N2CCCCC2)C=C1
CHEMBL3719354; 0.878; NC(=O)C1=CC2=C(NC3=C2C(=NC=N3)N2CCCCC2)C=C1
CHEMBL3715098; 0.877; CN(C1CCCCC1)C1=NC=NC2=C1C1=C(N2)C=CC(O)=C1
CHEMBL1923530; 0.876; C1CCC(C1)N1CCN(CC1)C1=C2C=CC=CC2=NC=N1
CHEMBL3715037; 0.872; CCC1CCCCN1C1=NC=NC2=C1C1=C(N2)C=CC(=C1)C(N)=O
CHEMBL3715699; 0.867; NC(=O)C1=CC2=C(NC3=C2C(NC2CCCC2)=NC=N3)C=C1
CHEMBL3717316; 0.866; CC1CCCCN1C1=NC(C)=NC2=C1C1=C(N2)C=CC(O)=C1
CHEMBL3716590; 0.865; OC1=CC2=C(NC3=C2C(NC2CCCC2)=NC=N3)C=C1
CHEMBL3719380; 0.864; NC(=O)C1=CC2=C(NC3=C2C(NC2CCCCC2)=NC=N3)C=C1
CHEMBL4287328; 0.863; CN([C@H]1CN(CC11CC1)C(=O)NC1=CC=CC=C1C1=CC=CC=C1)C1=C2C=CNC2=NC=N1
CHEMBL4077614; 0.863; CN([C@@H]1C[C@@H](C1)NS(=O)(=O)N1CCCCC1)C1=C2C=CNC2=NC=N1
