ChemblID;Score;Smile;ROMol;tanimoto_maccs;dice_maccs;tanimoto_morgan;dice_morgan
CHEMBL4285366;0.976; CN([C@H]1CN(CC11CC1)C(=O)C1=CC=NC=C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1cf0>;0.8070175438596491;0.8932038834951457;0.44;0.6111111111111112
CHEMBL3693611;0.975; O=C(N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1)C1=CC=C(C=C1)C#N;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1d50>;0.7719298245614035;0.8712871287128713;0.3058823529411765;0.46846846846846846
CHEMBL4290647;0.973; CN([C@H]1CN(CC11CC1)C(=O)C1=CC=CC=C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1db0>;0.8070175438596491;0.8932038834951457;0.44;0.6111111111111112
CHEMBL3693610;0.973; O=C(N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1)C1=CC(=CC=C1)C#N;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1e10>;0.7719298245614035;0.8712871287128713;0.29213483146067415;0.45217391304347826
CHEMBL3693633;0.971; O=C(CC#N)N1CCCC11CCCN(C1)C1=C2NC=NC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1e70>;0.8103448275862069;0.8952380952380953;0.27710843373493976;0.4339622641509434
CHEMBL1630796;0.965; CC1CCN(CC1N(C)C1=C2C=CNC2=NC=N1)C(=O)C1=CSC=C1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1f30>;0.8928571428571429;0.9433962264150944;0.6470588235294118;0.7857142857142857
CHEMBL4287505;0.964; CCCCNC(=O)N1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1f90>;0.75;0.8571428571428571;0.4358974358974359;0.6071428571428571
CHEMBL4279618;0.964; CN([C@H]1CN(CC2=CC=CC=C2)CC11CC1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfea9090>;0.7368421052631579;0.8484848484848485;0.39473684210526316;0.5660377358490566
CHEMBL4292627;0.964; CN([C@H]1CN(CC11CC1)C(=O)C1=CC=C(C=C1)C#N)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfea90f0>;0.8245614035087719;0.9038461538461539;0.4675324675324675;0.6371681415929203
CHEMBL4293188;0.964; CN([C@H]1CN(CC11CC1)C(=O)C1=CC=CC(=C1)C#N)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfea9150>;0.8245614035087719;0.9038461538461539;0.4444444444444444;0.6153846153846154
CHEMBL4280297;0.963; CN([C@H]1CN(CC11CC1)C(=O)NC1CCCCC1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfea91b0>;0.7301587301587301;0.8440366972477065;0.44155844155844154;0.6126126126126126
CHEMBL4290931;0.961; CN([C@H]1CN(CC11CC1)C(=O)NC1=CC=CC=C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfea9210>;0.7377049180327869;0.8490566037735849;0.42857142857142855;0.6
CHEMBL4280010;0.959; CN([C@H]1CN(CC11CC1)C(=O)C1=CC=CN=C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfea9270>;0.8245614035087719;0.9038461538461539;0.4125;0.584070796460177
